Gene,log2FoldChange,padj,chr,start,end
Gas5,1.5039760616952,1.29052906403836e-05,chr1,161035166,161038537
Gbx2,1.5039760616952,1.29052906403836e-05,chr1,89927962,89931176
Gdap1,1.5039760616952,1.29052906403836e-05,chr1,17145373,17164271
Gli2,1.5039760616952,1.29052906403836e-05,chr1,118834061,119053619
Glul,1.97841980693704,1.29052906403836e-05,chr1,153899945,153909714
Glrp1,1.5039760616952,1.29052906403836e-05,chr1,88499871,88510066
Gls,1.5039760616952,1.29052906403836e-05,chr1,52163449,52233232
Gpc1,1.5039760616952,1.29052906403836e-05,chr1,92831686,92860196
Nmur1,1.5039760616952,1.29052906403836e-05,chr1,86386325,86388141
Lancl1,1.5039760616952,1.29052906403836e-05,chr1,67000517,67038872
Gsta3,1.5039760616952,1.29052906403836e-05,chr1,21240589,21265559
Trip12,1.5039760616952,1.29052906403836e-05,chr1,84721189,84839304
Mr1,1.5039760616952,1.29052906403836e-05,chr1,155127878,155146780
H3f3a,1.5039760616952,1.29052906403836e-05,chr1,180802568,180813603
Tfb2m,1.5039760616952,1.29052906403836e-05,chr1,179528056,179546267
Hlx,1.5039760616952,1.29052906403836e-05,chr1,184727143,184732493
Agfg1,1.5039760616952,1.29052906403836e-05,chr1,82839483,82896275
Hsd11b1,1.5039760616952,1.29052906403836e-05,chr1,193221640,193264045
Hsd17b7,1.5039760616952,1.29052906403836e-05,chr1,169949537,169969205
Dnajb3,1.5039760616952,1.29052906403836e-05,chr1,88204732,88205748
Hspd1,3.45742135949945,1.48801772054539e-28,chr1,55077834,55087932
Hspe1,2.45395953123989,9.95966808640952e-09,chr1,55088148,55091317
Htr2b,1.5039760616952,1.29052906403836e-05,chr1,86099037,86111970
Htr5b,1.5039760616952,1.29052906403836e-05,chr1,121509758,121528465
Idh1,1.5039760616952,1.29052906403836e-05,chr1,65158616,65186479
Ier5,1.95468930886551,1.29052906403836e-05,chr1,155096367,155099636
Ifi203,1.5039760616952,1.29052906403836e-05,chr1,173920400,173942492
Ifi204,1.5039760616952,1.29052906403836e-05,chr1,173747293,173766919
Igfbp2,1.5039760616952,1.29052906403836e-05,chr1,72824480,72852474
Igfbp5,0.500514233435628,0.0955774652434651,chr1,72858065,72874865
Ihh,1.5039760616952,1.29052906403836e-05,chr1,74945318,74951651
Il10,1.5039760616952,1.29052906403836e-05,chr1,131019845,131024970
Il17a,1.5039760616952,1.29052906403836e-05,chr1,20730905,20734496
Il18rap,1.5039760616952,1.29052906403836e-05,chr1,40515362,40549303
Il1r1,1.5039760616952,1.29052906403836e-05,chr1,40225080,40316177
Il1r2,1.5039760616952,1.29052906403836e-05,chr1,40084768,40125225
Il18r1,1.5039760616952,1.29052906403836e-05,chr1,40465552,40500854
Inha,1.5039760616952,1.29052906403836e-05,chr1,75507077,75510354
Inhbb,1.5039760616952,1.29052906403836e-05,chr1,119415465,119422248
Inpp1,1.5039760616952,1.29052906403836e-05,chr1,52789418,52817688
Inpp5d,1.5039760616952,1.29052906403836e-05,chr1,87620312,87720508
Irs1,1.5039760616952,1.29052906403836e-05,chr1,82233105,82291439
Itln1,1.5039760616952,1.29052906403836e-05,chr1,171518123,171535294
F11r,2.45395953123989,9.95966808640952e-09,chr1,171437561,171464593
Kcnh1,1.5039760616952,1.29052906403836e-05,chr1,192190872,192510158
Kcnj10,1.5039760616952,1.29052906403836e-05,chr1,172341210,172374085
Kcnj9,1.5039760616952,1.29052906403836e-05,chr1,172321033,172329263
Kcnk2,1.5039760616952,1.29052906403836e-05,chr1,189207930,189344192
Kif1a,1.5039760616952,1.29052906403836e-05,chr1,93015456,93101865
Kif21b,1.5039760616952,1.29052906403836e-05,chr1,136131401,136178014
Kifap3,1.5039760616952,1.29052906403836e-05,chr1,163779679,163917100
Uhmk1,1.5039760616952,1.29052906403836e-05,chr1,170199256,170215393
Lad1,1.5039760616952,1.29052906403836e-05,chr1,135818598,135833341
Aff3,1.5039760616952,1.29052906403836e-05,chr1,38177327,38664955
Lamb3,1.97841980693704,1.29052906403836e-05,chr1,193301994,193343878
Lamc2,-0.0809864390259605,0.779203203705514,chr1,153122756,153186447
Eif2d,1.5039760616952,1.29052906403836e-05,chr1,131153207,131173471
Lhx4,1.5039760616952,1.29052906403836e-05,chr1,155701692,155742027
Lhx9,1.5039760616952,1.29052906403836e-05,chr1,138825186,138847579
Xcl1,1.5039760616952,1.29052906403836e-05,chr1,164931648,164935510
Lrrfip1,1.02843633739235,0.00720115295094195,chr1,90998727,91128944
Lrrn2,1.5039760616952,1.29052906403836e-05,chr1,132880355,132940005
Il1rl1,1.5039760616952,1.29052906403836e-05,chr1,40439649,40465415
Ly9,1.5039760616952,1.29052906403836e-05,chr1,171588613,171607360
Ly96,1.5039760616952,1.29052906403836e-05,chr1,16688456,16709605
Mapkapk2,1.5039760616952,1.29052906403836e-05,chr1,131053704,131097543
Marco,1.5039760616952,1.29052906403836e-05,chr1,120474538,120505084
Mcm3,1.5039760616952,1.29052906403836e-05,chr1,20803014,20820213
Mcm6,1.5039760616952,1.29052906403836e-05,chr1,128331591,128359656
Cd46,1.5039760616952,1.29052906403836e-05,chr1,195041900,195092248
Mdm4,1.5039760616952,1.29052906403836e-05,chr1,132989845,133025348
Mpz,1.5039760616952,1.29052906403836e-05,chr1,171150713,171161123
Msc,1.5039760616952,1.29052906403836e-05,chr1,14753346,14755966
Mstn,1.5039760616952,1.29052906403836e-05,chr1,53061663,53068079
Map2,1.02843633739235,0.00720115295094195,chr1,66175329,66442583
Mybl1,1.5039760616952,1.29052906403836e-05,chr1,9668831,9700209
Myl1,1.5039760616952,1.29052906403836e-05,chr1,66924295,66945056
Myo1b,-0.080986439025958,0.779203203705514,chr1,51749765,51915974
Myoc,1.5039760616952,1.29052906403836e-05,chr1,162639150,162649694
Myog,1.5039760616952,1.29052906403836e-05,chr1,134290004,134292548
Nab1,1.5039760616952,1.29052906403836e-05,chr1,52455849,52500448
Ncf2,1.5039760616952,1.29052906403836e-05,chr1,152807890,152836990
Nck2,1.5039760616952,1.29052906403836e-05,chr1,43445751,43570518
Ncl,0.386397625615104,0.229610568420989,chr1,86344719,86359455
Ncoa2,1.5039760616952,1.29052906403836e-05,chr1,13139159,13374083
Septin2,0.510574939780981,0.182114228951756,chr1,93478993,93509733
Septin2,0.510574939780981,0.182114228951756,chr1,93478993,93509733
Nek2,1.5039760616952,1.29052906403836e-05,chr1,191821473,191833049
Nhlh1,1.5039760616952,1.29052906403836e-05,chr1,172052292,172057596
Cd244a,1.5039760616952,1.29052906403836e-05,chr1,171559193,171585316
Npas2,1.5039760616952,1.29052906403836e-05,chr1,39194272,39363240
Nppc,1.5039760616952,1.29052906403836e-05,chr1,86666293,86670573
Slc11a1,1.5039760616952,1.29052906403836e-05,chr1,74375203,74386051
Nrp2,1.5039760616952,1.29052906403836e-05,chr1,62703317,62818692
Ddr2,1.5039760616952,1.29052906403836e-05,chr1,169972307,170088944
Olfr16,1.5039760616952,1.29052906403836e-05,chr1,172956768,172957817
Oprk1,1.5039760616952,1.29052906403836e-05,chr1,5588493,5606133
Orc2,1.5039760616952,1.29052906403836e-05,chr1,58462771,58504919
Pam,1.5039760616952,1.29052906403836e-05,chr1,97821094,98095632
Pax3,1.5039760616952,1.29052906403836e-05,chr1,78101267,78197136
Pbx1,1.5039760616952,1.29052906403836e-05,chr1,168119364,168432258
Cdk18,1.5039760616952,1.29052906403836e-05,chr1,132113547,132139685
Pdcd1,1.5039760616952,1.29052906403836e-05,chr1,94038305,94052553
Pde6d,1.5039760616952,1.29052906403836e-05,chr1,86543015,86582501
Pea15a,1.5039760616952,1.29052906403836e-05,chr1,172196729,172206781
Per2,1.02843633739235,0.00720115295094195,chr1,91415982,91459328
Pfdn2,1.5039760616952,1.29052906403836e-05,chr1,171345699,171358170
Pfkfb2,1.5039760616952,1.29052906403836e-05,chr1,130689043,130729253
Pigr,1.5039760616952,1.29052906403836e-05,chr1,130826684,130852249
Pikfyve,1.5039760616952,1.29052906403836e-05,chr1,65186685,65278696
Pkp1,0.510574939780981,0.182114228951756,chr1,135871395,135919024
Lypla1,1.5039760616952,1.29052906403836e-05,chr1,4807893,4846735
Pla2g4a,1.5039760616952,1.29052906403836e-05,chr1,149829622,149961284
Serpinb2,1.5039760616952,1.29052906403836e-05,chr1,107511423,107525600
Plcd4,1.5039760616952,1.29052906403836e-05,chr1,74542889,74565977
Plxna2,1.5039760616952,1.29052906403836e-05,chr1,194619829,194816869
Prrx1,1.5039760616952,1.29052906403836e-05,chr1,163245119,163313650
Pou2f1,1.5039760616952,1.29052906403836e-05,chr1,165865154,166002634
Pou3f3,1.5039760616952,1.29052906403836e-05,chr1,42697146,42700210
Ppox,1.5039760616952,1.29052906403836e-05,chr1,171276992,171281186
Mob4,1.5039760616952,1.29052906403836e-05,chr1,55131245,55154899
Prim2,1.5039760616952,1.29052906403836e-05,chr1,33453811,33669758
Prox1,1.5039760616952,1.29052906403836e-05,chr1,190121775,190170680
Psen2,1.5039760616952,1.29052906403836e-05,chr1,180227004,180256300
Ptgs2,1.5039760616952,1.29052906403836e-05,chr1,150100124,150108017
Ptma,0.369726808144353,0.218134398859742,chr1,86526736,86530698
Ptp4a1,1.5039760616952,1.29052906403836e-05,chr1,30940303,30949755
Ptp4a1,1.5039760616952,1.29052906403836e-05,chr1,30940303,30949755
Ptpn14,-0.0643156215552283,0.836157964607557,chr1,189728268,189876695
Ptpn18,1.5039760616952,1.29052906403836e-05,chr1,34459746,34473784
Ptpn4,1.5039760616952,1.29052906403836e-05,chr1,119658092,119837071
Ptprc,1.5039760616952,1.29052906403836e-05,chr1,138062861,138175305
Ptprn,1.5039760616952,1.29052906403836e-05,chr1,75247041,75264208
Pex19,1.5039760616952,1.29052906403836e-05,chr1,172126755,172136497
Rab17,1.5039760616952,1.29052906403836e-05,chr1,90958133,90969620
Rab23,1.5039760616952,1.29052906403836e-05,chr1,33719896,33742564
Ren1,1.5039760616952,1.29052906403836e-05,chr1,133350674,133360320
Resp18,1.5039760616952,1.29052906403836e-05,chr1,75272202,75278380
Rgl1,1.5039760616952,1.29052906403836e-05,chr1,152517530,152625111
Rgs16,1.5039760616952,1.29052906403836e-05,chr1,153740353,153745468
Rgs2,1.5039760616952,1.29052906403836e-05,chr1,143999338,144004149
Rgs4,1.5039760616952,1.29052906403836e-05,chr1,169741477,169747642
Rgs5,1.5039760616952,1.29052906403836e-05,chr1,169655501,169693526
Xpr1,1.02843633739235,0.00720115295094195,chr1,155275657,155417444
Rnf2,1.5039760616952,1.29052906403836e-05,chr1,151469406,151500823
Rp1,1.5039760616952,1.29052906403836e-05,chr1,4290846,4409241
Rpl37a,1.5039760616952,1.29052906403836e-05,chr1,72711260,72713813
Rpl7,-0.692182649694179,0.0165625517696161,chr1,16101295,16104433
Pdc,1.5039760616952,1.29052906403836e-05,chr1,150319417,150333906
Rxrg,1.5039760616952,1.29052906403836e-05,chr1,167598362,167639623
Sag,1.5039760616952,1.29052906403836e-05,chr1,87803680,87845157
Apcs,1.5039760616952,1.29052906403836e-05,chr1,172893961,172895054
Serpinb3a,1.5039760616952,1.29052906403836e-05,chr1,107045587,107052303
Scg2,1.5039760616952,1.29052906403836e-05,chr1,79434669,79440090
Ccl20,1.5039760616952,1.29052906403836e-05,chr1,83116766,83119167
Cavin2,0.510574939780981,0.182114228951756,chr1,51289126,51302960
Sele,1.5039760616952,1.29052906403836e-05,chr1,164048234,164057677
Sell,1.5039760616952,1.29052906403836e-05,chr1,164062076,164080785
Selp,1.5039760616952,1.29052906403836e-05,chr1,164115264,164150026
Sema4c,1.5039760616952,1.29052906403836e-05,chr1,36548642,36558381
St8sia4,1.5039760616952,1.29052906403836e-05,chr1,95587682,95667594
Vps4b,1.5039760616952,1.29052906403836e-05,chr1,106770788,106796725
Slc4a3,1.5039760616952,1.29052906403836e-05,chr1,75546266,75559431
Snrpe,1.02843633739235,0.00720115295094195,chr1,133603871,133610280
Soat1,1.5039760616952,1.29052906403836e-05,chr1,156428108,156474328
Sox13,1.5039760616952,1.29052906403836e-05,chr1,133382300,133424212
Sox17,1.5039760616952,1.29052906403836e-05,chr1,4490928,4496413
Sp100,1.5039760616952,1.29052906403836e-05,chr1,85650050,85709448
Serpine2,1.5039760616952,1.29052906403836e-05,chr1,79794321,79858665
Serpinb5,1.5039760616952,1.29052906403836e-05,chr1,106861180,106883348
Serpinb8,1.5039760616952,1.29052906403836e-05,chr1,107590006,107608978
Spta1,1.5039760616952,1.29052906403836e-05,chr1,174172776,174248449
Ro60,1.5039760616952,1.29052906403836e-05,chr1,143750790,143777051
Stat1,1.5039760616952,1.29052906403836e-05,chr1,52119438,52161865
Stat4,1.5039760616952,1.29052906403836e-05,chr1,52008244,52107184
Stk16,1.5039760616952,1.29052906403836e-05,chr1,75210829,75215606
Syt2,1.5039760616952,1.29052906403836e-05,chr1,134646681,134749417
Taf1a,1.5039760616952,1.29052906403836e-05,chr1,183388885,183410201
Tagln2,1.5039760616952,1.29052906403836e-05,chr1,172500246,172507375
Cntn2,1.5039760616952,1.29052906403836e-05,chr1,132509425,132542940
Tcea1,1.5039760616952,1.29052906403836e-05,chr1,4857694,4897909
Tfap2b,1.5039760616952,1.29052906403836e-05,chr1,19208914,19238734
Terf1,1.5039760616952,1.29052906403836e-05,chr1,15805658,15843429
Prss39,1.5039760616952,1.29052906403836e-05,chr1,34498430,34503062
Prss40,1.5039760616952,1.29052906403836e-05,chr1,34552331,34560943
Tgfb2,1.5039760616952,1.29052906403836e-05,chr1,186623186,186705992
Timm17a,1.5039760616952,1.29052906403836e-05,chr1,135301535,135313737
Dtymk,1.5039760616952,1.29052906403836e-05,chr1,93792576,93801934
Tnfrsf11a,1.02843633739235,0.00720115295094195,chr1,105780723,105847981
Dedd,1.02843633739235,0.00720115295094195,chr1,171329145,171342501
Tnni1,1.5039760616952,1.29052906403836e-05,chr1,135799421,135810989
Tnnt2,1.5039760616952,1.29052906403836e-05,chr1,135836386,135852261
Tnp1,1.5039760616952,1.29052906403836e-05,chr1,73015074,73015899
Tnr,1.5039760616952,1.29052906403836e-05,chr1,159523769,159924922
Tns1,-0.0643156215552283,0.836157964607557,chr1,73910231,74124447
Tpp2,1.5039760616952,1.29052906403836e-05,chr1,43934007,44002971
Traf5,1.5039760616952,1.29052906403836e-05,chr1,191997207,192092564
Tsn,1.5039760616952,1.29052906403836e-05,chr1,118298517,118311132
Tuba4a,0.510574939780981,0.182114228951756,chr1,75214974,75219253
Tnfsf4,1.5039760616952,1.29052906403836e-05,chr1,161395438,161418206
Sumo1,1.5039760616952,1.29052906403836e-05,chr1,59639434,59670834
Ugt1a2,1.5039760616952,1.29052906403836e-05,chr1,88200611,88220002
Usf1,1.5039760616952,1.29052906403836e-05,chr1,171411681,171418743
Ush2a,1.5039760616952,1.29052906403836e-05,chr1,188262838,188965041
Vil1,1.5039760616952,1.29052906403836e-05,chr1,74409384,74435560
Wnt10a,1.5039760616952,1.29052906403836e-05,chr1,74792019,74804176
Wnt6,1.5039760616952,1.29052906403836e-05,chr1,74771892,74785319
Ercc5,1.5039760616952,1.29052906403836e-05,chr1,44147744,44181260
Xrcc5,1.5039760616952,1.29052906403836e-05,chr1,72307421,72394953
Map3k19,1.5039760616952,1.29052906403836e-05,chr1,127815271,127840290
Slc23a3,1.5039760616952,1.29052906403836e-05,chr1,75125541,75133890
Zap70,1.5039760616952,1.29052906403836e-05,chr1,36761861,36782816
Ikzf2,1.5039760616952,1.29052906403836e-05,chr1,69531207,69685960
Slc30a1,1.5039760616952,1.29052906403836e-05,chr1,191906781,191913247
Zp3r,1.5039760616952,1.29052906403836e-05,chr1,130576706,130629606
Adam23,1.5039760616952,1.29052906403836e-05,chr1,63445904,63596515
Akt3,1.5039760616952,1.29052906403836e-05,chr1,177022115,177248767
Bpnt1,1.5039760616952,1.29052906403836e-05,chr1,185332159,185357769
Capn10,1.5039760616952,1.29052906403836e-05,chr1,92934408,92947948
Cdh20,1.5039760616952,1.29052906403836e-05,chr1,104768819,104995481
Pappa2,1.5039760616952,1.29052906403836e-05,chr1,158711731,158957438
Farsb,1.5039760616952,1.29052906403836e-05,chr1,78424836,78488846
Grem2,1.5039760616952,1.29052906403836e-05,chr1,174833785,174921819
Neu2,1.5039760616952,1.29052906403836e-05,chr1,87574027,87597845
Rgs7,1.5039760616952,1.29052906403836e-05,chr1,175059076,175492545
Rnasel,1.5039760616952,1.29052906403836e-05,chr1,153749426,153764221
Avpr1b,1.5039760616952,1.29052906403836e-05,chr1,131599114,131612000
Cop1,1.5039760616952,1.29052906403836e-05,chr1,159232326,159347580
Esrrg,1.5039760616952,1.29052906403836e-05,chr1,187609006,188214884
Ifi202b,1.5039760616952,1.29052906403836e-05,chr1,173962569,173982844
Nr5a2,1.5039760616952,1.29052906403836e-05,chr1,136843584,136960448
Cul3,1.5039760616952,1.29052906403836e-05,chr1,80266818,80340430
Cops5,1.5039760616952,1.29052906403836e-05,chr1,10024830,10037898
B3galt2,1.5039760616952,1.29052906403836e-05,chr1,143640697,143649937
Cops7b,1.5039760616952,1.29052906403836e-05,chr1,86587100,86606500
Sh2d1b1,1.5039760616952,1.29052906403836e-05,chr1,170277324,170285662
Exo1,1.5039760616952,1.29052906403836e-05,chr1,175880778,175911396
Map4k4,1.5039760616952,1.29052906403836e-05,chr1,39900913,40026310
Eif4e2,1.5039760616952,1.29052906403836e-05,chr1,87213914,87240488
Nit1,1.02843633739235,0.00720115295094195,chr1,171342237,171345645
Srp9,1.5039760616952,1.29052906403836e-05,chr1,182124737,182132415
Mixl1,1.5039760616952,1.29052906403836e-05,chr1,180693043,180697034
Slamf1,1.5039760616952,1.29052906403836e-05,chr1,171767132,171801184
Atp1a4,1.5039760616952,1.29052906403836e-05,chr1,172223508,172258424
Phlda3,0.510574939780981,0.182114228951756,chr1,135766085,135769134
Pign,1.5039760616952,1.29052906403836e-05,chr1,105518422,105663676
Mrpl15,1.5039760616952,1.29052906403836e-05,chr1,4773198,4785726
Tada1,1.5039760616952,1.29052906403836e-05,chr1,166379167,166393621
Imp4,1.5039760616952,1.29052906403836e-05,chr1,34439829,34445747
Rabgap1l,0.510574939780981,0.182114228951756,chr1,160219174,160792938
Stau2,1.5039760616952,1.29052906403836e-05,chr1,16228810,16519302
Slamf6,1.5039760616952,1.29052906403836e-05,chr1,171917537,171943868
Zbtb18,2.45395953123989,9.95966808640952e-09,chr1,177444661,177450764
Tor3a,1.5039760616952,1.29052906403836e-05,chr1,156653617,156674339
Usp21,1.5039760616952,1.29052906403836e-05,chr1,171281949,171287961
Cfhr1,1.5039760616952,1.29052906403836e-05,chr1,139547064,139560222
Rgs1,1.5039760616952,1.29052906403836e-05,chr1,144244669,144249104
Hs6st1,1.5039760616952,1.29052906403836e-05,chr1,36068400,36106446
Scly,1.5039760616952,1.29052906403836e-05,chr1,91298338,91321080
Bok,1.5039760616952,1.29052906403836e-05,chr1,93685694,93695762
Ramp1,1.5039760616952,1.29052906403836e-05,chr1,91179822,91225196
Hnrnpu,0.369726808144353,0.218134398859742,chr1,178328300,178337784
Kctd18,1.5039760616952,1.29052906403836e-05,chr1,57955101,57970084
Ankzf1,1.5039760616952,1.29052906403836e-05,chr1,75192135,75199387
Macir,1.5039760616952,1.29052906403836e-05,chr1,97643902,97662018
Angel2,1.5039760616952,1.29052906403836e-05,chr1,190925108,190946491
Cnot11,1.5039760616952,1.29052906403836e-05,chr1,39535802,39546881
Mybph,1.5039760616952,1.29052906403836e-05,chr1,134193448,134201232
Vamp4,1.5039760616952,1.29052906403836e-05,chr1,162570828,162599078
Tlr5,1.5039760616952,1.29052906403836e-05,chr1,182954788,182976044
