#chrom	chromStart	chromEnd	name	gieStain
chr4	75300000	78000000	q21.1	gneg
chr4	78000000	81500000	q21.21	gpos50
chr4	81500000	83200000	q21.22	gneg
chr4	83200000	86000000	q21.23	gpos25
chr4	86000000	87100000	q21.3	gneg
chr4	87100000	92800000	q22.1	gpos75
chr4	92800000	94200000	q22.2	gneg
chr4	94200000	97900000	q22.3	gpos75
chr4	97900000	100100000	q23	gneg
chr4	100100000	106700000	q24	gpos50
chr4	106700000	113200000	q25	gneg
chr4	113200000	119900000	q26	gpos75
chr4	119900000	122800000	q27	gneg
chr4	122800000	127900000	q28.1	gpos50
chr4	127900000	130100000	q28.2	gneg
chr4	130100000	138500000	q28.3	gpos100
chr4	138500000	140600000	q31.1	gneg
chr4	140600000	145900000	q31.21	gpos25
chr4	145900000	147500000	q31.22	gneg
chr4	147500000	150200000	q31.23	gpos25
chr4	150200000	154600000	q31.3	gneg
chr4	154600000	160800000	q32.1	gpos100
chr4	160800000	163600000	q32.2	gneg
chr4	163600000	169200000	q32.3	gpos100
chr4	169200000	171000000	q33	gneg
chr4	171000000	175400000	q34.1	gpos75
chr4	175400000	176600000	q34.2	gneg
chr4	176600000	182300000	q34.3	gpos100
chr4	182300000	186200000	q35.1	gneg
chr4	186200000	190214555	q35.2	gpos25
chr5	0	4400000	p15.33	gneg
chr5	4400000	6300000	p15.32	gpos25
chr5	6300000	9900000	p15.31	gneg
chr5	9900000	15000000	p15.2	gpos50
chr5	15000000	18400000	p15.1	gneg
chr5	18400000	23300000	p14.3	gpos100
chr5	23300000	24600000	p14.2	gneg
chr5	24600000	28900000	p14.1	gpos100
chr5	28900000	33800000	p13.3	gneg
chr5	33800000	38400000	p13.2	gpos25
chr5	38400000	42500000	p13.1	gneg
chr5	42500000	46100000	p12	gpos50
chr5	46100000	48800000	p11	acen
chr5	48800000	51400000	q11.1	acen
chr5	51400000	59600000	q11.2	gneg
chr5	59600000	63600000	q12.1	gpos75
chr5	63600000	63900000	q12.2	gneg
chr5	63900000	67400000	q12.3	gpos75
chr5	67400000	69100000	q13.1	gneg
chr5	69100000	74000000	q13.2	gpos50
chr5	74000000	77600000	q13.3	gneg
chr5	77600000	82100000	q14.1	gpos50
chr5	82100000	83500000	q14.2	gneg
chr5	83500000	93000000	q14.3	gpos100
chr5	93000000	98900000	q15	gneg
chr5	98900000	103400000	q21.1	gpos100
chr5	103400000	105100000	q21.2	gneg
chr5	105100000	110200000	q21.3	gpos100
chr5	110200000	112200000	q22.1	gneg
chr5	112200000	113800000	q22.2	gpos50
chr5	113800000	115900000	q22.3	gneg
chr5	115900000	122100000	q23.1	gpos100
chr5	122100000	127900000	q23.2	gneg
chr5	127900000	131200000	q23.3	gpos100
chr5	131200000	136900000	q31.1	gneg
chr5	136900000	140100000	q31.2	gpos25
chr5	140100000	145100000	q31.3	gneg
chr5	145100000	150400000	q32	gpos75
chr5	150400000	153300000	q33.1	gneg
chr5	153300000	156300000	q33.2	gpos50
chr5	156300000	160500000	q33.3	gneg
chr5	160500000	169000000	q34	gpos100
chr5	169000000	173300000	q35.1	gneg
chr5	173300000	177100000	q35.2	gpos25
chr5	177100000	181538259	q35.3	gneg
chr6	0	2300000	p25.3	gneg
chr6	2300000	4200000	p25.2	gpos25
chr6	4200000	7100000	p25.1	gneg
chr6	7100000	10600000	p24.3	gpos50
chr6	10600000	11600000	p24.2	gneg
chr6	11600000	13400000	p24.1	gpos25
chr6	13400000	15200000	p23	gneg
chr6	15200000	25200000	p22.3	gpos75
chr6	25200000	27100000	p22.2	gneg
chr6	27100000	30500000	p22.1	gpos50
chr6	30500000	32100000	p21.33	gneg
chr6	32100000	33500000	p21.32	gpos25
chr6	33500000	36600000	p21.31	gneg
chr6	36600000	40500000	p21.2	gpos25
chr6	40500000	46200000	p21.1	gneg
chr6	46200000	51800000	p12.3	gpos100
chr6	51800000	53000000	p12.2	gneg
chr6	53000000	57200000	p12.1	gpos100
chr6	57200000	58500000	p11.2	gneg
chr6	58500000	59800000	p11.1	acen
chr6	59800000	62600000	q11.1	acen
chr6	62600000	62700000	q11.2	gneg
chr6	62700000	69200000	q12	gpos100
chr6	69200000	75200000	q13	gneg
chr6	75200000	83200000	q14.1	gpos50
chr6	83200000	84200000	q14.2	gneg
chr6	84200000	87300000	q14.3	gpos50
chr6	87300000	92500000	q15	gneg
chr6	92500000	98900000	q16.1	gpos100
chr6	98900000	100000000	q16.2	gneg
chr6	100000000	105000000	q16.3	gpos100
chr6	105000000	114200000	q21	gneg
chr6	114200000	117900000	q22.1	gpos75
chr6	117900000	118100000	q22.2	gneg
chr6	118100000	125800000	q22.31	gpos100
chr6	125800000	126800000	q22.32	gneg
chr6	126800000	130000000	q22.33	gpos75
chr6	130000000	130900000	q23.1	gneg
chr6	130900000	134700000	q23.2	gpos50
chr6	134700000	138300000	q23.3	gneg
chr6	138300000	142200000	q24.1	gpos75
chr6	142200000	145100000	q24.2	gneg
chr6	145100000	148500000	q24.3	gpos75
chr6	148500000	152100000	q25.1	gneg
chr6	152100000	155200000	q25.2	gpos50
chr6	155200000	160600000	q25.3	gneg
chr6	160600000	164100000	q26	gpos50
chr6	164100000	170805979	q27	gneg
chr7	0	2800000	p22.3	gneg
chr7	2800000	4500000	p22.2	gpos25
chr7	4500000	7200000	p22.1	gneg
chr7	7200000	13700000	p21.3	gpos100
chr7	13700000	16500000	p21.2	gneg
chr7	16500000	20900000	p21.1	gpos100
chr7	20900000	25500000	p15.3	gneg
chr7	25500000	27900000	p15.2	gpos50
chr7	27900000	28800000	p15.1	gneg
chr7	28800000	34900000	p14.3	gpos75
chr7	34900000	37100000	p14.2	gneg
chr7	37100000	43300000	p14.1	gpos75
chr7	43300000	45400000	p13	gneg
chr7	45400000	49000000	p12.3	gpos75
chr7	49000000	50500000	p12.2	gneg
chr7	50500000	53900000	p12.1	gpos75
chr7	53900000	58100000	p11.2	gneg
chr7	58100000	60100000	p11.1	acen
chr7	60100000	62100000	q11.1	acen
chr7	62100000	67500000	q11.21	gneg
chr7	67500000	72700000	q11.22	gpos50
chr7	72700000	77900000	q11.23	gneg
chr7	77900000	86700000	q21.11	gpos100
chr7	86700000	88500000	q21.12	gneg
chr7	88500000	91500000	q21.13	gpos75
chr7	91500000	93300000	q21.2	gneg
chr7	93300000	98400000	q21.3	gpos75
chr7	98400000	104200000	q22.1	gneg
chr7	104200000	104900000	q22.2	gpos50
chr7	104900000	107800000	q22.3	gneg
chr7	107800000	115000000	q31.1	gpos75
chr7	115000000	117700000	q31.2	gneg
chr7	117700000	121400000	q31.31	gpos75
chr7	121400000	124100000	q31.32	gneg
chr7	124100000	127500000	q31.33	gpos75
chr7	127500000	129600000	q32.1	gneg
chr7	129600000	130800000	q32.2	gpos25
chr7	130800000	132900000	q32.3	gneg
chr7	132900000	138500000	q33	gpos50
chr7	138500000	143400000	q34	gneg
chr7	143400000	148200000	q35	gpos75
chr7	148200000	152800000	q36.1	gneg
chr7	152800000	155200000	q36.2	gpos25
chr7	155200000	159345973	q36.3	gneg
chr8	0	2300000	p23.3	gneg
chr8	2300000	6300000	p23.2	gpos75
chr8	6300000	12800000	p23.1	gneg
chr8	12800000	19200000	p22	gpos100
chr8	19200000	23500000	p21.3	gneg
chr8	23500000	27500000	p21.2	gpos50
chr8	27500000	29000000	p21.1	gneg
chr8	29000000	36700000	p12	gpos75
chr8	36700000	38500000	p11.23	gneg
chr8	38500000	39900000	p11.22	gpos25
chr8	39900000	43200000	p11.21	gneg
chr8	43200000	45200000	p11.1	acen
chr8	45200000	47200000	q11.1	acen
chr8	47200000	51300000	q11.21	gneg
chr8	51300000	51700000	q11.22	gpos75
chr8	51700000	54600000	q11.23	gneg
chr8	54600000	60600000	q12.1	gpos50
chr8	60600000	61300000	q12.2	gneg
chr8	61300000	65100000	q12.3	gpos50
chr8	65100000	67100000	q13.1	gneg
chr8	67100000	69600000	q13.2	gpos50
chr8	69600000	72000000	q13.3	gneg
chr8	72000000	74600000	q21.11	gpos100
chr8	74600000	74700000	q21.12	gneg
chr8	74700000	83500000	q21.13	gpos75
chr8	83500000	85900000	q21.2	gneg
chr8	85900000	92300000	q21.3	gpos100
chr8	92300000	97900000	q22.1	gneg
chr8	97900000	100500000	q22.2	gpos25
chr8	100500000	105100000	q22.3	gneg
chr8	105100000	109500000	q23.1	gpos75
chr8	109500000	111100000	q23.2	gneg
chr8	111100000	116700000	q23.3	gpos100
chr8	116700000	118300000	q24.11	gneg
chr8	118300000	121500000	q24.12	gpos50
chr8	121500000	126300000	q24.13	gneg
chr8	126300000	130400000	q24.21	gpos50
chr8	130400000	135400000	q24.22	gneg
chr8	135400000	138900000	q24.23	gpos75
chr8	138900000	145138636	q24.3	gneg
chr9	0	2200000	p24.3	gneg
chr9	2200000	4600000	p24.2	gpos25
chr9	4600000	9000000	p24.1	gneg
chr9	9000000	14200000	p23	gpos75
chr9	14200000	16600000	p22.3	gneg
chr9	16600000	18500000	p22.2	gpos25
chr9	18500000	19900000	p22.1	gneg
chr9	19900000	25600000	p21.3	gpos100
chr9	25600000	28000000	p21.2	gneg
chr9	28000000	33200000	p21.1	gpos100
chr9	33200000	36300000	p13.3	gneg
chr9	36300000	37900000	p13.2	gpos25
chr9	37900000	39000000	p13.1	gneg
chr9	39000000	40000000	p12	gpos50
chr9	40000000	42200000	p11.2	gneg
chr9	42200000	43000000	p11.1	acen
chr9	43000000	45500000	q11	acen
chr9	45500000	61500000	q12	gvar
chr9	61500000	65000000	q13	gneg
chr9	65000000	69300000	q21.11	gpos25
chr9	69300000	71300000	q21.12	gneg
chr9	71300000	76600000	q21.13	gpos50
chr9	76600000	78500000	q21.2	gneg
chr9	78500000	81500000	q21.31	gpos50
chr9	81500000	84300000	q21.32	gneg
chr9	84300000	87800000	q21.33	gpos50
chr9	87800000	89200000	q22.1	gneg
chr9	89200000	91200000	q22.2	gpos25
chr9	91200000	93900000	q22.31	gneg
chr9	93900000	96500000	q22.32	gpos25
chr9	96500000	99800000	q22.33	gneg
chr9	99800000	105400000	q31.1	gpos100
chr9	105400000	108500000	q31.2	gneg
chr9	108500000	112100000	q31.3	gpos25
chr9	112100000	114900000	q32	gneg
chr9	114900000	119800000	q33.1	gpos75
chr9	119800000	123100000	q33.2	gneg
chr9	123100000	127500000	q33.3	gpos25
chr9	127500000	130600000	q34.11	gneg
chr9	130600000	131100000	q34.12	gpos25
chr9	131100000	133100000	q34.13	gneg
chr9	133100000	134500000	q34.2	gpos25
chr9	134500000	138394717	q34.3	gneg
chrM	0	16569		gneg
chrX	0	4400000	p22.33	gneg
chrX	4400000	6100000	p22.32	gpos50
chrX	6100000	9600000	p22.31	gneg
chrX	9600000	17400000	p22.2	gpos50
chrX	17400000	19200000	p22.13	gneg
chrX	19200000	21900000	p22.12	gpos50
chrX	21900000	24900000	p22.11	gneg
chrX	24900000	29300000	p21.3	gpos100
chrX	29300000	31500000	p21.2	gneg
chrX	31500000	37800000	p21.1	gpos100
chrX	37800000	42500000	p11.4	gneg
chrX	42500000	47600000	p11.3	gpos75
chrX	47600000	50100000	p11.23	gneg
chrX	50100000	54800000	p11.22	gpos25
chrX	54800000	58100000	p11.21	gneg
chrX	58100000	61000000	p11.1	acen
chrX	61000000	63800000	q11.1	acen
chrX	63800000	65400000	q11.2	gneg
chrX	65400000	68500000	q12	gpos50
chrX	68500000	73000000	q13.1	gneg
chrX	73000000	74700000	q13.2	gpos50
chrX	74700000	76800000	q13.3	gneg
chrX	76800000	85400000	q21.1	gpos100
chrX	85400000	87000000	q21.2	gneg
chrX	87000000	92700000	q21.31	gpos100
chrX	92700000	94300000	q21.32	gneg
chrX	94300000	99100000	q21.33	gpos75
chrX	99100000	103300000	q22.1	gneg
chrX	103300000	104500000	q22.2	gpos50
chrX	104500000	109400000	q22.3	gneg
chrX	109400000	117400000	q23	gpos75
chrX	117400000	121800000	q24	gneg
chrX	121800000	129500000	q25	gpos100
chrX	129500000	131300000	q26.1	gneg
chrX	131300000	134500000	q26.2	gpos25
chrX	134500000	138900000	q26.3	gneg
chrX	138900000	141200000	q27.1	gpos75
chrX	141200000	143000000	q27.2	gneg
chrX	143000000	148000000	q27.3	gpos100
chrX	148000000	156040895	q28	gneg
chrY	0	300000	p11.32	gneg
chrY	300000	600000	p11.31	gpos50
chrY	600000	10300000	p11.2	gneg
chrY	10300000	10400000	p11.1	acen
chrY	10400000	10600000	q11.1	acen
chrY	10600000	12400000	q11.21	gneg
chrY	12400000	17100000	q11.221	gpos50
chrY	17100000	19600000	q11.222	gneg
chrY	19600000	23800000	q11.223	gpos50
chrY	23800000	26600000	q11.23	gneg
chrY	26600000	57227415	q12	gvar
chr10	0	3000000	p15.3	gneg
chr10	3000000	3800000	p15.2	gpos25
chr10	3800000	6600000	p15.1	gneg
chr10	6600000	12200000	p14	gpos75
chr10	12200000	17300000	p13	gneg
chr10	17300000	18300000	p12.33	gpos75
chr10	18300000	18400000	p12.32	gneg
chr10	18400000	22300000	p12.31	gpos75
chr10	22300000	24300000	p12.2	gneg
chr10	24300000	29300000	p12.1	gpos50
chr10	29300000	31100000	p11.23	gneg
chr10	31100000	34200000	p11.22	gpos25
chr10	34200000	38000000	p11.21	gneg
chr10	38000000	39800000	p11.1	acen
chr10	39800000	41600000	q11.1	acen
chr10	41600000	45500000	q11.21	gneg
chr10	45500000	48600000	q11.22	gpos25
chr10	48600000	51100000	q11.23	gneg
chr10	51100000	59400000	q21.1	gpos100
chr10	59400000	62800000	q21.2	gneg
chr10	62800000	68800000	q21.3	gpos100
chr10	68800000	73100000	q22.1	gneg
chr10	73100000	75900000	q22.2	gpos50
chr10	75900000	80300000	q22.3	gneg
chr10	80300000	86100000	q23.1	gpos100
chr10	86100000	87700000	q23.2	gneg
chr10	87700000	91100000	q23.31	gpos75
chr10	91100000	92300000	q23.32	gneg
chr10	92300000	95300000	q23.33	gpos50
chr10	95300000	97500000	q24.1	gneg
chr10	97500000	100100000	q24.2	gpos50
chr10	100100000	101200000	q24.31	gneg
chr10	101200000	103100000	q24.32	gpos25
chr10	103100000	104000000	q24.33	gneg
chr10	104000000	110100000	q25.1	gpos100
chr10	110100000	113100000	q25.2	gneg
chr10	113100000	117300000	q25.3	gpos75
chr10	117300000	119900000	q26.11	gneg
chr10	119900000	121400000	q26.12	gpos50
chr10	121400000	125700000	q26.13	gneg
chr10	125700000	128800000	q26.2	gpos50
chr10	128800000	133797422	q26.3	gneg
chr11	0	2800000	p15.5	gneg
chr11	2800000	11700000	p15.4	gpos50
chr11	11700000	13800000	p15.3	gneg
chr11	13800000	16900000	p15.2	gpos50
chr11	16900000	22000000	p15.1	gneg
chr11	22000000	26200000	p14.3	gpos100
chr11	26200000	27200000	p14.2	gneg
chr11	27200000	31000000	p14.1	gpos75
chr11	31000000	36400000	p13	gneg
chr11	36400000	43400000	p12	gpos100
chr11	43400000	48800000	p11.2	gneg
chr11	48800000	51000000	p11.12	gpos75
chr11	51000000	53400000	p11.11	acen
chr11	53400000	55800000	q11	acen
chr11	55800000	60100000	q12.1	gpos75
chr11	60100000	61900000	q12.2	gneg
chr11	61900000	63600000	q12.3	gpos25
chr11	63600000	66100000	q13.1	gneg
chr11	66100000	68700000	q13.2	gpos25
chr11	68700000	70500000	q13.3	gneg
chr11	70500000	75500000	q13.4	gpos50
chr11	75500000	77400000	q13.5	gneg
chr11	77400000	85900000	q14.1	gpos100
chr11	85900000	88600000	q14.2	gneg
chr11	88600000	93000000	q14.3	gpos100
chr11	93000000	97400000	q21	gneg
chr11	97400000	102300000	q22.1	gpos100
chr11	102300000	103000000	q22.2	gneg
chr11	103000000	110600000	q22.3	gpos100
chr11	110600000	112700000	q23.1	gneg
chr11	112700000	114600000	q23.2	gpos50
chr11	114600000	121300000	q23.3	gneg
chr11	121300000	124000000	q24.1	gpos50
chr11	124000000	127900000	q24.2	gneg
chr11	127900000	130900000	q24.3	gpos50
chr11	130900000	135086622	q25	gneg
chr12	0	3200000	p13.33	gneg
chr12	3200000	5300000	p13.32	gpos25
chr12	5300000	10000000	p13.31	gneg
chr12	10000000	12600000	p13.2	gpos75
chr12	12600000	14600000	p13.1	gneg
chr12	14600000	19800000	p12.3	gpos100
chr12	19800000	21100000	p12.2	gneg
chr12	21100000	26300000	p12.1	gpos100
chr12	26300000	27600000	p11.23	gneg
chr12	27600000	30500000	p11.22	gpos50
chr12	30500000	33200000	p11.21	gneg
chr12	33200000	35500000	p11.1	acen
chr12	35500000	37800000	q11	acen
chr12	37800000	46000000	q12	gpos100
chr12	46000000	48700000	q13.11	gneg
chr12	48700000	51100000	q13.12	gpos25
chr12	51100000	54500000	q13.13	gneg
chr12	54500000	56200000	q13.2	gpos25
chr12	56200000	57700000	q13.3	gneg
chr12	57700000	62700000	q14.1	gpos75
chr12	62700000	64700000	q14.2	gneg
chr12	64700000	67300000	q14.3	gpos50
chr12	67300000	71100000	q15	gneg
chr12	71100000	75300000	q21.1	gpos75
chr12	75300000	79900000	q21.2	gneg
chr12	79900000	86300000	q21.31	gpos100
chr12	86300000	88600000	q21.32	gneg
chr12	88600000	92200000	q21.33	gpos100
chr12	92200000	95800000	q22	gneg
chr12	95800000	101200000	q23.1	gpos75
chr12	101200000	103500000	q23.2	gneg
chr12	103500000	108600000	q23.3	gpos50
chr12	108600000	111300000	q24.11	gneg
chr12	111300000	111900000	q24.12	gpos25
chr12	111900000	113900000	q24.13	gneg
chr12	113900000	116400000	q24.21	gpos50
chr12	116400000	117700000	q24.22	gneg
chr12	117700000	120300000	q24.23	gpos50
chr12	120300000	125400000	q24.31	gneg
chr12	125400000	128700000	q24.32	gpos50
chr12	128700000	133275309	q24.33	gneg
chr13	0	4600000	p13	gvar
chr13	4600000	10100000	p12	stalk
chr13	10100000	16500000	p11.2	gvar
chr13	16500000	17700000	p11.1	acen
chr13	17700000	18900000	q11	acen
chr13	18900000	22600000	q12.11	gneg
chr13	22600000	24900000	q12.12	gpos25
chr13	24900000	27200000	q12.13	gneg
chr13	27200000	28300000	q12.2	gpos25
chr13	28300000	31600000	q12.3	gneg
chr13	31600000	33400000	q13.1	gpos50
chr13	33400000	34900000	q13.2	gneg
chr13	34900000	39500000	q13.3	gpos75
chr13	39500000	44600000	q14.11	gneg
chr13	44600000	45200000	q14.12	gpos25
chr13	45200000	46700000	q14.13	gneg
chr13	46700000	50300000	q14.2	gpos50
chr13	50300000	54700000	q14.3	gneg
chr13	54700000	59000000	q21.1	gpos100
chr13	59000000	61800000	q21.2	gneg
chr13	61800000	65200000	q21.31	gpos75
chr13	65200000	68100000	q21.32	gneg
chr13	68100000	72800000	q21.33	gpos100
chr13	72800000	74900000	q22.1	gneg
chr13	74900000	76700000	q22.2	gpos50
chr13	76700000	78500000	q22.3	gneg
chr13	78500000	87100000	q31.1	gpos100
chr13	87100000	89400000	q31.2	gneg
chr13	89400000	94400000	q31.3	gpos100
chr13	94400000	97500000	q32.1	gneg
chr13	97500000	98700000	q32.2	gpos25
chr13	98700000	101100000	q32.3	gneg
chr13	101100000	104200000	q33.1	gpos100
chr13	104200000	106400000	q33.2	gneg
chr13	106400000	109600000	q33.3	gpos100
chr13	109600000	114364328	q34	gneg
